Time	subj	trialNr	ground1	speed1	dist1	ground2	speed2	dist2	answ	rTime	Speed	Dist	speed_comparison	antwort	condition
182.6703417	4	6	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(5)	1.75	35	1	0.900806499999987	normal	long	fastslow	0	2
220.7651704	4	7	viz.VizPrimitive(6)	1.75	7	viz.VizPrimitive(8)	3.5	7	0	1.86619579999999	normal	short	slowfast	0	1
235.8253945	4	8	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(5)	3.5	35	1	1.7212275	normal	long	slowfast	1	2
274.7421846	4	9	viz.VizPrimitive(5)	0.35	7	viz.VizPrimitive(8)	0.7	7	0	1.25488680000001	slow	short	slowfast	0	0
344.2237619	4	11	viz.VizPrimitive(5)	3.5	7	viz.VizPrimitive(8)	1.75	7	1	1.33134749999999	normal	short	fastslow	0	1
358.7620887	4	12	viz.VizPrimitive(6)	0.7	7	viz.VizPrimitive(8)	0.35	7	0	0.933350400000052	slow	short	fastslow	1	0
396.8903104	4	13	viz.VizPrimitive(5)	3.5	7	viz.VizPrimitive(6)	1.75	7	0	1.47334269999999	normal	short	fastslow	1	1
442.0711475	4	15	viz.VizPrimitive(8)	1.75	7	viz.VizPrimitive(7)	3.5	7	0	0.854158600000005	normal	short	slowfast	0	1
456.1317563	4	16	viz.VizPrimitive(6)	1.75	7	viz.VizPrimitive(8)	3.5	7	0	1.1994057	normal	short	slowfast	0	1
502.3898498	4	18	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(7)	3.5	7	0	1.39295709999999	normal	short	slowfast	0	1
516.9725113	4	19	viz.VizPrimitive(6)	0.7	7	viz.VizPrimitive(7)	0.35	7	1	2.04466279999997	slow	short	fastslow	0	0
619.8509893	4	22	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(5)	1.75	35	1	1.87695399999996	normal	long	fastslow	0	2
658.9011155	4	23	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(8)	1.75	35	1	2.20991770000001	normal	long	fastslow	0	2
698.3065224	4	24	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(7)	3.5	35	0	1.41040050000004	normal	long	slowfast	0	2
736.9234201	4	25	viz.VizPrimitive(6)	0.7	7	viz.VizPrimitive(7)	0.35	7	0	1.78908709999996	slow	short	fastslow	1	0
775.9068342	4	26	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(5)	0.35	7	0	1.55489550000004	slow	short	fastslow	1	0
814.6571803	4	27	viz.VizPrimitive(7)	0.35	7	viz.VizPrimitive(5)	0.7	7	0	8.25182469999993	slow	short	slowfast	0	0
860.1154921	4	28	viz.VizPrimitive(7)	0.7	7	viz.VizPrimitive(5)	0.35	7	0	1.87677259999998	slow	short	fastslow	1	0
903.6637062	4	29	viz.VizPrimitive(5)	3.5	7	viz.VizPrimitive(6)	1.75	7	0	1.51857649999999	normal	short	fastslow	1	1
918.3907163	4	30	viz.VizPrimitive(6)	1.75	35	viz.VizPrimitive(5)	3.5	35	1	0.48845259999996	normal	long	slowfast	1	2
956.0858321	4	31	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(8)	1.75	35	0	1.6313533	normal	long	fastslow	1	2
1025.8117794	4	33	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(7)	0.35	7	0	9.76231959999996	slow	short	fastslow	1	0
1072.7696064	4	34	viz.VizPrimitive(8)	3.5	7	viz.VizPrimitive(5)	1.75	7	0	1.93223769999986	normal	short	fastslow	1	1
1087.8743475	4	35	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(7)	0.7	7	0	1.348702	slow	short	slowfast	0	0
1126.4245549	4	36	viz.VizPrimitive(8)	3.5	7	viz.VizPrimitive(6)	1.75	7	1	0.951731399999971	normal	short	fastslow	0	1
1140.5740578	4	37	viz.VizPrimitive(7)	3.5	7	viz.VizPrimitive(5)	1.75	7	1	1.68949279999993	normal	short	fastslow	0	1
1186.6655547	4	39	viz.VizPrimitive(6)	1.75	35	viz.VizPrimitive(5)	3.5	35	0	1.02112529999999	normal	long	slowfast	0	2
1224.8777299	4	40	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(6)	3.5	35	0	6.00807959999997	normal	long	slowfast	0	2
1268.0644508	4	41	viz.VizPrimitive(7)	1.75	7	viz.VizPrimitive(8)	3.5	7	0	8.66030959999989	normal	short	slowfast	0	1
1289.9216813	4	42	viz.VizPrimitive(5)	0.35	7	viz.VizPrimitive(7)	0.7	7	0	2.27716899999996	slow	short	slowfast	0	0
1329.4048537	4	43	viz.VizPrimitive(5)	0.7	7	viz.VizPrimitive(6)	0.35	7	0	1.27785949999998	slow	short	fastslow	1	0
1367.8774634	4	44	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(6)	0.35	7	1	2.82060739999997	slow	short	fastslow	0	0
1407.8715534	4	45	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(6)	1.75	35	1	1.39990369999987	normal	long	fastslow	0	2
1446.4662268	4	46	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(6)	0.7	7	0	1.79928559999985	slow	short	slowfast	0	0
1485.4719696	4	47	viz.VizPrimitive(6)	1.75	35	viz.VizPrimitive(5)	3.5	35	0	1.39924079999992	normal	long	slowfast	0	2
1556.3084668	4	49	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(5)	0.7	7	0	3.94903560000012	slow	short	slowfast	0	0
1597.4464813	4	50	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(5)	1.75	35	1	1.55449470000008	normal	long	fastslow	0	2
1636.1967291	4	51	viz.VizPrimitive(6)	3.5	7	viz.VizPrimitive(8)	1.75	7	0	1.46577159999993	normal	short	fastslow	1	1
1650.8793278	4	52	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(7)	1.75	35	1	0.733341999999993	normal	long	fastslow	0	2
1720.3164915	4	54	viz.VizPrimitive(8)	3.5	7	viz.VizPrimitive(6)	1.75	7	1	2.18774520000011	normal	short	fastslow	0	1
1735.7211534	4	55	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(6)	3.5	7	0	1.6484676	normal	short	slowfast	0	1
1750.5702591	4	56	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(6)	0.35	7	0	1.47741159999987	slow	short	fastslow	1	0
1792.9411286	4	57	viz.VizPrimitive(7)	1.75	35	viz.VizPrimitive(6)	3.5	35	1	1.87641099999996	normal	long	slowfast	1	2
1832.0134131	4	58	viz.VizPrimitive(8)	3.5	35	viz.VizPrimitive(7)	1.75	35	1	1.3655167999998	normal	long	fastslow	0	2
1870.5637234	4	59	viz.VizPrimitive(7)	1.75	7	viz.VizPrimitive(5)	3.5	7	0	1.7531769000002	normal	short	slowfast	0	1
1885.5351038	4	60	viz.VizPrimitive(5)	3.5	7	viz.VizPrimitive(7)	1.75	7	1	2.0210962000001	normal	short	fastslow	0	1
1900.7619684	4	61	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(6)	3.5	7	1	1.04500880000001	normal	short	slowfast	1	1
1915.022593	4	62	viz.VizPrimitive(5)	1.75	35	viz.VizPrimitive(7)	3.5	35	1	1.8989532999999	normal	long	slowfast	1	2
1954.1171457	4	63	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(5)	0.7	7	1	1.34500019999996	slow	short	slowfast	1	0
2024.0651549	4	65	viz.VizPrimitive(5)	1.75	7	viz.VizPrimitive(6)	3.5	7	0	1.98790959999997	normal	short	slowfast	0	1
2039.2471829	4	66	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(7)	3.5	35	0	1.4767211999997	normal	long	slowfast	0	2
2077.9200044	4	67	viz.VizPrimitive(8)	1.75	7	viz.VizPrimitive(6)	3.5	7	0	1.67702589999999	normal	short	slowfast	0	1
2092.8025188	4	68	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(7)	0.7	7	0	0.888382500000262	slow	short	slowfast	0	0
2130.8974524	4	69	viz.VizPrimitive(8)	3.5	35	viz.VizPrimitive(6)	1.75	35	1	1.85556780000024	normal	long	fastslow	0	2
2169.9475493	4	70	viz.VizPrimitive(6)	1.75	7	viz.VizPrimitive(8)	3.5	7	0	1.26820299999963	normal	short	slowfast	0	1
2184.4191976	4	71	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(7)	0.7	7	1	1.85464689999981	slow	short	slowfast	1	0
2223.4692237	4	72	viz.VizPrimitive(6)	3.5	7	viz.VizPrimitive(7)	1.75	7	0	1.39924010000004	normal	short	fastslow	1	1
2238.0851906	4	73	viz.VizPrimitive(8)	3.5	7	viz.VizPrimitive(5)	1.75	7	1	1.44345180000028	normal	short	fastslow	0	1
